name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
Sycamore,58,170136,Ed Sheeran,Ed Sheeran,2023-05-05,0.727,0.592,0.32,0.0,0.259,-8.069,0.0331,134.085,3,0.35,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Sycamore - Ed Sheeran (128).wav
First Times,65,185853,Ed Sheeran,Ed Sheeran,2021-10-29,0.84,0.587,0.267,0.0,0.121,-9.206,0.0349,98.845,4,0.352,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",First Times - Ed Sheeran (128).wav
Life Goes On,63,210260,Ed Sheeran,Ed Sheeran,2023-05-05,0.813,0.629,0.312,0.0,0.169,-7.609,0.0318,77.044,4,0.456,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Life Goes On - Ed Sheeran (128).wav
Dive,74,238440,Ed Sheeran,Ed Sheeran,2017-03-03,0.355,0.761,0.386,0.0,0.0953,-6.158,0.0399,134.943,3,0.526,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Dive - Ed Sheeran (128).wav
Kiss Me,69,280853,Ed Sheeran,Ed Sheeran,2011-09-09,0.64,0.589,0.227,0.00469,0.0248,-16.67,0.0498,74.993,4,0.182,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Kiss Me - Ed Sheeran (128).wav
How Would You Feel (Paean),66,280533,Ed Sheeran,Ed Sheeran,2017-03-03,0.424,0.617,0.439,0.0,0.127,-5.63,0.0269,139.979,4,0.242,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",How Would You Feel (Paean) - Ed Sheeran (128).wav
Collide,59,210213,Ed Sheeran,Ed Sheeran,2021-10-29,0.113,0.672,0.73,0.0,0.0612,-4.77,0.0372,123.969,4,0.559,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Collide - Ed Sheeran (128).wav
Dusty,58,223033,Ed Sheeran,Ed Sheeran,2023-05-05,0.226,0.711,0.55,0.00928,0.12,-9.682,0.0332,146.928,4,0.616,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",Dusty - Ed Sheeran (128).wav
The Joker And The Queen (feat. Taylor Swift),68,185422,Ed Sheeran,"Ed Sheeran,Taylor Swift",2022-02-11,0.924,0.528,0.309,2.1e-06,0.282,-7.398,0.0329,133.83,4,0.307,Ed Sheeran,86,115073470,"['pop', 'singer-songwriter pop', 'uk pop']",The Joker And The Queen (feat. Taylor Swift) - Ed Sheeran T.wav
You,64,179427,Miley Cyrus,Miley Cyrus,2023-08-18,0.288,0.625,0.568,0.0,0.674,-5.663,0.0324,85.545,3,0.348,Miley Cyrus,82,22491587,['pop'],You and I - d4vd (128).wav
Heart Of Glass (Live from the iHeart Festival),69,213672,Miley Cyrus,Miley Cyrus,2020-11-27,0.000335,0.58,0.908,4.84e-05,0.087,-5.303,0.0341,115.016,4,0.427,Miley Cyrus,82,22491587,['pop'],Heart Of Glass (Live from the iHeart Festival) - Miley Cyrus.wav
Mother's Daughter,67,219080,Miley Cyrus,Miley Cyrus,2019-05-31,0.00461,0.682,0.866,0.00147,0.149,-4.132,0.0588,91.017,4,0.527,Miley Cyrus,82,22491587,['pop'],Mother s Daughter - Miley Cyrus (128).wav
AM I DREAMING (feat. Miley Cyrus),61,183241,Lil Nas X,"Lil Nas X,Miley Cyrus",2021-09-17,0.77,0.629,0.445,2.92e-06,0.351,-6.999,0.0258,94.103,4,0.209,Lil Nas X,74,12476410,['lgbtq+ hip hop'],AM I DREAMING (feat. Miley Cyrus) - Lil Nas X Miley Cyrus (.wav
Nothing Else Matters,60,395786,Miley Cyrus,"Miley Cyrus,WATT,Elton John,Yo-Yo Ma,Robert Trujillo,Chad Smith",2021-06-22,0.00516,0.452,0.668,1.45e-05,0.112,-5.118,0.0292,142.548,3,0.142,Miley Cyrus,82,22491587,['pop'],Something Real - Post Malone (128).wav
Who Owns My Heart,57,214853,Miley Cyrus,Miley Cyrus,2010-01-01,0.0106,0.571,0.805,0.0,0.0864,-4.985,0.129,135.908,4,0.356,Miley Cyrus,82,22491587,['pop'],Who Owns My Heart - Miley Cyrus (128).wav
Every Rose Has Its Thorn,54,228240,Miley Cyrus,Miley Cyrus,2010-01-01,0.19,0.254,0.657,0.0,0.0952,-4.995,0.0385,151.045,4,0.352,Miley Cyrus,82,22491587,['pop'],Every Rose Has Its Thorn - Miley Cyrus (128).wav
Stay,54,261907,Miley Cyrus,Miley Cyrus,2010-01-01,0.255,0.583,0.698,0.0,0.118,-4.836,0.0363,129.985,4,0.34,Miley Cyrus,82,22491587,['pop'],Ghost - Halsey (128).wav
Wrecking Ball X Nothing Compares 2 U - Live,53,313037,Miley Cyrus,Miley Cyrus,2022-04-29,0.0307,0.459,0.635,0.0,0.291,-4.582,0.0312,119.658,4,0.181,Miley Cyrus,82,22491587,['pop'],Wrecking Ball X Nothing Compares 2 U (Live) - Miley Cyrus (1.wav
The Most,53,221720,Miley Cyrus,Miley Cyrus,2019-05-31,0.449,0.571,0.613,0.0032,0.122,-6.887,0.0292,100.051,4,0.215,Miley Cyrus,82,22491587,['pop'],The Most - Miley Cyrus (128).wav
Jolene - Live,62,266989,Miley Cyrus,Miley Cyrus,2022-04-29,0.0181,0.431,0.783,0.0,0.836,-5.879,0.14,107.861,4,0.416,Miley Cyrus,82,22491587,['pop'],Gasoline - Halsey (128).wav
FU (feat. French Montana),59,229693,Miley Cyrus,"Miley Cyrus,French Montana",2013-10-04,0.199,0.548,0.833,0.0,0.305,-3.294,0.0497,190.029,3,0.467,Miley Cyrus,82,22491587,['pop'],FU (feat. French Montana) - Miley Cyrus French Montana (128.wav
We Are Never Ever Getting Back Together (Taylor's Version),73,193147,Taylor Swift,Taylor Swift,2021-11-12,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,4,0.716,Taylor Swift,100,91129614,['pop'],We Are Never Ever Getting Back Together (Taylor s Version) -.wav
Out Of The Woods (Taylor's Version),79,235800,Taylor Swift,Taylor Swift,2023-10-26,0.000512,0.547,0.885,9.37e-05,0.39,-5.961,0.0418,91.992,4,0.192,Taylor Swift,100,91129614,['pop'],Out Of The Woods (Taylor s Version) - Taylor Swift (128).wav
Mine (Taylor's Version),80,231707,Taylor Swift,Taylor Swift,2023-07-07,0.00444,0.646,0.783,1.38e-06,0.171,-2.846,0.0356,121.08,4,0.49,Taylor Swift,100,91129614,['pop'],Mine (Taylor s Version) - Taylor Swift (128).wav
Delicate,85,232253,Taylor Swift,Taylor Swift,2017-11-10,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,4,0.0499,Taylor Swift,100,91129614,['pop'],Delicate - Taylor Swift (128).wav
I Can See You (Taylor’s Version) (From The Vault),80,273186,Taylor Swift,Taylor Swift,2023-07-07,0.0586,0.694,0.764,0.0,0.0608,-4.893,0.0337,123.044,4,0.819,Taylor Swift,100,91129614,['pop'],I Wish You Would (Taylor s Version) - Taylor Swift (128).wav
All Of The Girls You Loved Before,81,221407,Taylor Swift,Taylor Swift,2019-08-23,0.707,0.718,0.467,6.92e-05,0.126,-9.66,0.0398,95.96,3,0.396,Taylor Swift,100,91129614,['pop'],All Of The Girls You Loved Before - Taylor Swift (128).wav
22 (Taylor's Version),71,230960,Taylor Swift,Taylor Swift,2021-11-12,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,4,0.642,Taylor Swift,100,91129614,['pop'],22 (Taylor s Version) - Taylor Swift (128).wav
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),85,613027,Taylor Swift,Taylor Swift,2021-11-12,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,4,0.205,Taylor Swift,100,91129614,['pop'],Back To December (Taylor s Version) - Taylor Swift (128).wav
Back To December (Taylor's Version),80,294190,Taylor Swift,Taylor Swift,2023-07-07,0.00621,0.497,0.635,0.0,0.117,-3.927,0.0273,142.063,4,0.203,Taylor Swift,100,91129614,['pop'],Back To December (Taylor s Version) - Taylor Swift (128).wav
Clean (Taylor's Version),77,271000,Taylor Swift,Taylor Swift,2023-10-26,0.276,0.771,0.386,2.01e-05,0.121,-8.917,0.0297,103.96,4,0.239,Taylor Swift,100,91129614,['pop'],Clean (Taylor s Version) - Taylor Swift (128).wav
Welcome To New York (Taylor's Version),78,212600,Taylor Swift,Taylor Swift,2023-10-26,0.00961,0.761,0.607,2.24e-05,0.367,-4.83,0.0312,116.98,4,0.674,Taylor Swift,100,91129614,['pop'],Welcome To New York (Taylor s Version) - Taylor Swift (128).wav
Mean (Taylor's Version),75,238693,Taylor Swift,Taylor Swift,2023-07-07,0.311,0.524,0.692,0.0,0.192,-3.866,0.0369,163.874,4,0.621,Taylor Swift,100,91129614,['pop'],Mean (Taylor s Version) - Taylor Swift (128).wav
Snow On The Beach (feat. More Lana Del Rey),79,229943,Taylor Swift,"Taylor Swift,Lana Del Rey",2023-05-26,0.806,0.664,0.401,3.5e-06,0.108,-10.934,0.0344,109.846,4,0.315,Taylor Swift,100,91129614,['pop'],Snow_On_The_Beach_feat_More_Lana_Del_Rey_Taylor_Swift_Lana.wav
"Pies Descalzos, Sueños Blancos",68,205800,Shakira,Shakira,1995-10-06,0.00854,0.854,0.684,0.0,0.152,-7.333,0.0361,119.957,4,0.673,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']","Pies Descalzos, Sueños Blancos - Shakira (128).wav"
Loba,71,189200,Shakira,Shakira,2009,0.403,0.853,0.706,0.046,0.0751,-7.598,0.0451,121.991,4,0.778,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Loba - Shakira (128).wav
Perro Fiel (feat. Nicky Jam),70,195213,Shakira,"Shakira,Nicky Jam",2017-05-26,0.187,0.75,0.76,0.0,0.0548,-4.836,0.198,183.817,4,0.893,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Perro Fiel (feat. Nicky Jam) - Shakira Nicky Jam (128).wav
Moscas en la Casa,67,211907,Shakira,Shakira,1998-09-29,0.714,0.802,0.313,1.16e-05,0.111,-12.157,0.0288,104.931,4,0.487,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Moscas en la Casa - Shakira (128).wav
She Wolf,74,188867,Shakira,Shakira,2009,0.285,0.865,0.69,0.0162,0.225,-7.448,0.0443,121.983,4,0.867,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",She Wolf (Album) - Shakira (128).wav
Me Gusta,69,190570,Shakira,"Shakira,Anuel AA",2020-01-13,0.0559,0.775,0.696,0.00184,0.157,-5.184,0.0681,92.007,4,0.775,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Me Gusta - Shakira Anuel AA (128).wav
"Suerte (Whenever, Wherever)",69,194107,Shakira,Shakira,2001-11-13,0.179,0.768,0.845,0.0,0.209,-4.767,0.0337,108.977,4,0.891,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']","Suerte (Whenever, Wherever) - Shakira (128).wav"
GIRL LIKE ME,70,222523,Black Eyed Peas,"Black Eyed Peas,Shakira",2020-11-02,0.0206,0.965,0.485,0.0237,0.0655,-8.784,0.191,124.025,4,0.312,Black Eyed Peas,77,7769573,"['dance pop', 'pop', 'pop rap']",Girls Like You - Maroon 5 (128).wav
No (feat. Gustavo Cerati),67,285040,Shakira,"Shakira,Gustavo Cerati",2005-06-03,0.841,0.72,0.302,0.00451,0.109,-12.02,0.0324,131.989,4,0.423,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",No (feat. Gustavo Cerati) - Shakira Gustavo Cerati (128).wav
Clandestino,68,231921,Shakira,"Shakira,Maluma",2018-06-08,0.39,0.766,0.822,3.37e-05,0.349,-4.126,0.16,165.842,4,0.881,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Clandestino - Shakira Maluma (128).wav
Beautiful Liar,71,199853,Beyoncé,"Beyoncé,Shakira",2007-05-29,0.00554,0.764,0.751,0.000237,0.164,-3.74,0.0703,91.977,4,0.418,Beyoncé,83,36174736,"['pop', 'r&b']",Beautiful Liar - Beyoncé Shakira (128).wav
Can't Remember to Forget You (feat. Rihanna),76,206867,Shakira,"Shakira,Rihanna",2014-03-13,0.122,0.694,0.81,0.0,0.141,-3.556,0.0661,137.968,4,0.824,Shakira,84,31808291,"['colombian pop', 'dance pop', 'latin pop', 'pop']",If It s Lovin That You Want - Rihanna (128).wav
Too Good,76,263373,Drake,"Drake,Rihanna",2016-05-06,0.0489,0.794,0.653,4.88e-05,0.1,-7.839,0.104,117.996,4,0.397,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Too Good - Drake Rihanna (128).wav
California King Bed,68,251600,Rihanna,Rihanna,2010-01-01,0.25,0.452,0.571,0.0,0.114,-3.992,0.0359,169.899,4,0.327,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",6. Rihanna - California King Bed (128).wav
Talk That Talk,69,209600,Rihanna,"Rihanna,JAY-Z",2011-11-19,0.0371,0.694,0.671,3.14e-05,0.236,-4.088,0.0444,83.999,4,0.466,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",Talk That Talk - Rihanna JAY-Z (128).wav
Man Down,71,267000,Rihanna,Rihanna,2010-11-16,0.0436,0.47,0.904,0.0,0.0491,-4.024,0.177,155.788,4,0.557,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",Woman - Doja Cat (128).wav
Te Amo,70,208427,Rihanna,Rihanna,2009-11-20,0.541,0.567,0.707,0.000176,0.1,-5.455,0.0818,171.917,4,0.751,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",Te Amo - Rihanna (128).wav
Nobody's Business,71,216293,Rihanna,"Rihanna,Chris Brown",2012-12-11,0.0362,0.741,0.6,0.0,0.0562,-5.792,0.0412,109.233,4,0.515,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']","10. Rihanna, Chris Brown - Nobody s Business (128).wav"
Who's That Chick? (feat. Rihanna),72,201040,David Guetta,"David Guetta,Rihanna",2010-11-22,0.00377,0.675,0.602,0.0,0.0458,-4.733,0.116,127.938,4,0.933,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Who_s_That_Chick_feat_Rihanna_David_Guetta_Rihanna_128.wav
You Da One,76,200013,Rihanna,Rihanna,2011-11-19,0.503,0.702,0.715,2.44e-05,0.126,-5.377,0.0425,127.05,4,0.863,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",You Da One - Rihanna (128).wav
Unfaithful,72,226973,Rihanna,Rihanna,2006-04-10,0.839,0.588,0.391,0.0,0.227,-8.607,0.0334,144.069,4,0.349,Rihanna,87,58231994,"['barbadian pop', 'pop', 'urban contemporary']",Unfaithful (Album Version) - Rihanna (128).wav
Love Me More,64,190659,Sam Smith,Sam Smith,2022-04-28,0.302,0.791,0.439,1.85e-05,0.126,-5.62,0.0645,85.004,4,0.559,Sam Smith,82,23263331,"['pop', 'uk pop']",Love Me More - Sam Smith (128).wav
Too Good At Goodbyes - Acoustic,62,220096,Sam Smith,Sam Smith,2017-09-29,0.846,0.462,0.272,0.0,0.138,-9.274,0.0456,86.816,4,0.262,Sam Smith,82,23263331,"['pop', 'uk pop']",Too Good At Goodbyes (Acoustic) - Sam Smith (128).wav
Diamonds,66,213869,Sam Smith,Sam Smith,2020-10-30,0.161,0.637,0.666,0.0,0.108,-6.773,0.0494,104.02,4,0.529,Sam Smith,82,23263331,"['pop', 'uk pop']",Diamonds - Rihanna (128).wav
To Die For,64,193795,Sam Smith,Sam Smith,2020-02-14,0.832,0.483,0.361,4.66e-06,0.098,-7.889,0.0738,171.649,4,0.307,Sam Smith,82,23263331,"['pop', 'uk pop']",Born To Die - Lana Del Rey (128).wav
Unholy (feat. Kim Petras) - ACRAZE Remix,65,176500,Sam Smith,"Sam Smith,Kim Petras,ACRAZE",2022-10-12,0.00284,0.743,0.893,0.000369,0.113,-5.261,0.129,130.072,4,0.369,Sam Smith,82,23263331,"['pop', 'uk pop']",Unholy - Sam Smith Kim Petras (128).wav
Latch - Acoustic,63,223429,Sam Smith,Sam Smith,2015-11-06,0.979,0.359,0.248,0.000338,0.111,-8.705,0.0281,98.621,4,0.247,Sam Smith,82,23263331,"['pop', 'uk pop']",Latch (Acoustic) - Sam Smith (128).wav
"Writing's On The Wall - From ""Spectre"" Soundtrack",66,278987,Sam Smith,Sam Smith,2015-09-25,0.769,0.261,0.302,2.57e-06,0.0863,-8.19,0.0339,81.418,3,0.0883,Sam Smith,82,23263331,"['pop', 'uk pop']",Writing s On The Wall - Sam Smith (128).wav
How Will I Know,60,232235,Sam Smith,Sam Smith,2015-11-06,0.944,0.526,0.131,0.0,0.0826,-12.287,0.0699,85.278,4,0.302,Sam Smith,82,23263331,"['pop', 'uk pop']",How Will I Know - Sam Smith (128).wav
No Peace,58,283295,Sam Smith,"Sam Smith,Yebba",2017-11-03,0.343,0.66,0.542,3.89e-06,0.122,-8.11,0.077,135.828,4,0.152,Sam Smith,82,23263331,"['pop', 'uk pop']",No Peace - Sam Smith YEBBA (128).wav
Leave Your Lover,58,188377,Sam Smith,Sam Smith,2014-05-26,0.948,0.415,0.264,6.31e-06,0.106,-8.741,0.0475,92.879,5,0.357,Sam Smith,82,23263331,"['pop', 'uk pop']",Leave Your Lover - Sam Smith (128).wav
One Last Song,59,192922,Sam Smith,Sam Smith,2017-11-03,0.367,0.672,0.53,0.0,0.321,-6.43,0.0284,103.326,3,0.485,Sam Smith,82,23263331,"['pop', 'uk pop']",One Last Song - Sam Smith (128).wav
When Love Takes Over (feat. Kelly Rowland),75,191000,David Guetta,"David Guetta,Kelly Rowland",2010-11-22,0.0165,0.675,0.862,0.000427,0.169,-4.614,0.0253,129.967,4,0.498,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",When Love Takes Over (feat. Kelly Rowland) - David Guetta (1.wav
Satisfaction,72,155677,David Guetta,"David Guetta,Benny Benassi",2022-08-12,0.0742,0.752,0.935,0.0352,0.081,-6.263,0.203,126.022,4,0.31,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Snap Out Of It - Arctic Monkeys (128).wav
This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),71,207273,David Guetta,"David Guetta,Zara Larsson",2016-05-13,0.0022,0.367,0.915,5.81e-05,0.0905,-3.456,0.0488,110.169,4,0.365,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",This One s for You (feat. Zara Larsson) (Official Song UEFA.wav
Lovers on the Sun (feat. Sam Martin),72,203520,David Guetta,"David Guetta,Sam Martin",2014-11-10,0.0932,0.645,0.891,3.88e-06,0.379,-2.505,0.0387,124.915,4,0.568,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Lovers on the Sun (feat. Sam Martin) - David Guetta Sam Mar.wav
Bad (feat. Vassy) - Radio Edit,70,170625,David Guetta,"David Guetta,Showtek,VASSY",2014-11-10,0.00125,0.614,0.972,0.0186,0.328,-3.927,0.088,127.966,4,0.411,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I Do (feat. SZA) - Cardi B SZA (128).wav
Without You (feat. Usher),73,208133,David Guetta,"David Guetta,USHER",2012-12-07,0.227,0.608,0.614,4.06e-06,0.157,-3.727,0.0285,127.884,4,0.402,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Without You (feat. Usher) - David Guetta Usher (128).wav
On Repeat,64,190217,Robin Schulz,"Robin Schulz,David Guetta",2022-05-06,0.0246,0.609,0.801,0.00255,0.37,-8.483,0.0694,122.958,4,0.202,Robin Schulz,75,3096894,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",Woman - Rema (128).wav
Big FU,66,161771,David Guetta,"David Guetta,Ayra Starr,Lil Durk",2023-10-27,0.243,0.774,0.711,0.00052,0.0732,-7.97,0.18,125.14,4,0.612,David Guetta,85,26379655,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",Big Foot - Nicki Minaj (128).wav
BOTH - David Guetta & Seth Hills Remix,63,161905,Tiësto,"Tiësto,David Guetta,Seth Hills",2023-12-08,0.0197,0.555,0.971,0.0193,0.263,-2.718,0.0571,126.016,4,0.358,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",BOTH (David Guetta Seth Hills Remix) - Tiësto (128).wav
Nobody Gets Me,85,180853,SZA,SZA,2022-12-09,0.805,0.358,0.284,0.0,0.183,-8.285,0.0285,99.796,3,0.276,SZA,87,15504565,"['pop', 'r&b', 'rap']",Nobody Gets Me - SZA (128).wav
20 Something,75,198160,SZA,SZA,2017-06-09,0.739,0.569,0.299,0.0,0.054,-8.603,0.275,81.049,4,0.505,SZA,87,15504565,"['pop', 'r&b', 'rap']",20 Something - SZA (128).wav
Special,76,158840,SZA,SZA,2022-12-09,0.777,0.604,0.199,0.0,0.109,-11.831,0.05,76.134,4,0.191,SZA,87,15504565,"['pop', 'r&b', 'rap']",Special - SZA (128).wav
Garden (Say It Like Dat),72,208400,SZA,SZA,2017-06-09,0.0705,0.73,0.457,0.0,0.124,-7.26,0.283,111.352,4,0.549,SZA,87,15504565,"['pop', 'r&b', 'rap']",Garden (Say It Like Dat) - SZA (128).wav
HiiiJack,55,222165,SZA,SZA,2014-04-08,0.221,0.682,0.551,2.23e-05,0.133,-8.746,0.288,73.988,4,0.357,SZA,87,15504565,"['pop', 'r&b', 'rap']",HiiiJack - SZA (128).wav
Tread Carefully,62,182069,SZA,SZA,2022-06-09,0.115,0.505,0.249,0.0,0.155,-14.879,0.139,115.815,4,0.207,SZA,87,15504565,"['pop', 'r&b', 'rap']",Tread Carefully - SZA (128).wav
Sweet November,60,243744,SZA,SZA,2014-04-08,0.532,0.478,0.551,0.0154,0.288,-7.079,0.0354,108.849,4,0.481,SZA,87,15504565,"['pop', 'r&b', 'rap']",Sweet November - SZA (128).wav
